                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2963,                 3.7804,                 4.2043,                0.00056,                0.07289,                0.00706,                0.00167,                      0,                    inf,                      0,                 0.0706,              0.0032667,              0.0032667
                      1,                 2.8765,                 2.7176,                 3.5707,                0.00186,                0.06522,                0.00429,                0.00146,                      0,                    inf,                      0,               0.040535,              0.0065347,              0.0065347
                      2,                 2.3525,                 2.3007,                 2.9064,                0.69309,                0.17519,                0.17027,                0.07073,                      0,                    inf,                      0,               0.010403,              0.0097367,              0.0097367
                      3,                 2.1166,                 2.0119,                 2.6079,                0.56333,                0.07033,                0.03465,                0.00841,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.8849,                 1.7673,                 2.3609,                0.82386,                0.19949,                0.23186,                0.12906,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                 1.6594,                 1.4874,                 2.1418,                0.88842,                 0.2532,                0.32891,                0.23345,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                 1.5001,                 1.2501,                 2.0004,                0.73644,                0.24425,                0.18304,                0.06372,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.2827,                 1.0598,                 1.7982,                0.82543,                 0.3838,                0.32635,                0.22382,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.1877,                0.92108,                  1.659,                0.97691,                0.39622,                0.42001,                0.27211,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.0166,                0.83603,                 1.5002,                0.89945,                0.38107,                0.39741,                0.24044,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                0.94604,                0.77172,                 1.4199,                0.97594,                0.37852,                0.41295,                0.34261,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                0.88453,                 0.7177,                 1.3385,                 0.9269,                0.36829,                 0.4143,                 0.3062,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                0.82236,                0.67181,                  1.286,                0.96214,                0.42142,                0.43821,                0.33878,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                0.77264,                0.61876,                 1.2373,                0.88078,                0.38363,                0.40205,                0.23311,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                0.73315,                 0.6086,                 1.2183,                0.93728,                0.41011,                0.43497,                0.32209,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                 0.6972,                0.58692,                 1.1833,                0.97138,                0.42117,                 0.4378,                0.35438,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                0.67359,                0.56471,                  1.168,                0.92532,                0.44373,                0.41159,                0.33573,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                0.64397,                0.55882,                 1.1503,                0.87481,                0.37596,                0.40336,                0.31916,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                0.62978,                0.52359,                 1.1248,                0.94618,                0.42402,                0.43748,                0.33531,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                0.62403,                0.50652,                 1.1165,                0.81746,                0.41944,                0.35921,                0.25825,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                0.58366,                0.48241,                 1.0842,                 0.9421,                 0.4296,                0.41972,                0.34569,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                  0.569,                0.49045,                 1.0732,                0.91646,                0.41304,                0.42979,                0.35348,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                0.55286,                 0.4667,                 1.0611,                 0.9094,                0.29156,                0.33442,                0.23585,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                0.54364,                0.44843,                 1.0516,                0.92312,                 0.4335,                0.42563,                0.36083,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                0.52752,                0.43991,                 1.0401,                0.93448,                0.36461,                0.42677,                0.35935,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     25,                 0.5125,                0.43868,                 1.0361,                0.94509,                0.42072,                0.44286,                0.38025,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     26,                 0.5077,                 0.4197,                 1.0235,                0.89354,                0.41125,                 0.4105,                0.34005,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                 0.4961,                0.41879,                 1.0215,                0.87285,                0.27238,                0.33182,                0.14714,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                0.48027,                 0.4168,                 1.0143,                0.93195,                0.42199,                0.43634,                0.37354,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     29,                0.48755,                0.40791,                 1.0098,                0.91063,                0.40281,                0.41681,                  0.334,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     30,                0.48951,                0.39921,                 1.0073,                0.98317,                0.39003,                 0.4431,                0.37068,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     31,                0.47527,                0.39103,                 1.0071,                0.90145,                0.40409,                0.42361,                0.34676,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     32,                0.46466,                0.38789,                0.99974,                0.93423,                 0.4399,                0.42543,                0.36326,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     33,                0.45617,                0.38439,                0.98636,                0.92328,                0.39003,                0.43383,                0.36196,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     34,                0.45703,                 0.3759,                0.99201,                0.90623,                0.40997,                0.40968,                0.33571,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     35,                0.44452,                0.37916,                0.97911,                0.94897,                0.42583,                 0.4372,                0.36327,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     36,                0.44362,                0.36416,                0.97757,                 0.8689,                0.35678,                0.38525,                 0.2532,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     37,                0.43227,                0.37008,                0.96891,                0.93273,                0.42711,                0.41216,                0.33603,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     38,                0.42616,                0.34883,                0.96479,                 0.9599,                0.41063,                0.43679,                 0.3659,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                0.42103,                0.35929,                0.96018,                0.87585,                0.25831,                0.32497,                0.24396,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.41348,                0.34547,                  0.965,                 0.9313,                0.41748,                0.42861,                0.36238,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                0.41489,                0.34337,                0.96112,                0.94507,                 0.4156,                0.42544,                0.34413,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                0.40585,                0.34467,                0.95646,                0.95831,                0.42327,                0.42644,                0.35857,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                 0.4075,                0.34285,                0.95471,                0.92292,                0.41395,                0.42972,                0.36544,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.39764,                0.34079,                0.94891,                0.94853,                0.42967,                0.42536,                 0.3567,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                0.40561,                0.33924,                0.95447,                0.87345,                 0.3913,                 0.3834,                0.22894,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.39546,                0.33456,                0.94389,                0.93752,                0.42085,                0.43129,                0.37021,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                0.39824,                0.32878,                 0.9465,                0.92519,                0.42878,                0.44313,                0.37633,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                0.39491,                0.33977,                0.94959,                0.92843,                0.41338,                0.42958,                0.37009,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                0.38702,                0.33591,                0.94438,                0.93387,                0.41688,                0.42876,                0.36003,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.40623,                0.33359,                0.94119,                0.91741,                0.42009,                0.42845,                0.36245,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.43898,                0.35822,                0.95375,                 0.9316,                0.41152,                0.41557,                0.33856,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.44889,                0.35736,                0.94347,                0.94023,                0.41816,                0.44632,                 0.3622,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.45429,                0.35736,                0.94506,                0.93349,                0.40793,                0.45408,                0.38103,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.45044,                0.35843,                0.93935,                0.43287,                0.54131,                0.47929,                0.36899,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.45147,                0.35045,                0.92794,                0.46502,                0.51007,                0.44474,                0.30583,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.44761,                0.34477,                0.93385,                0.70057,                 0.6845,                0.69676,                0.40678,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                0.45561,                0.34742,                0.93071,                0.71584,                0.74161,                 0.6914,                0.41144,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                0.44993,                0.33444,                0.92411,                0.70754,                0.72011,                0.69143,                0.39748,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                0.45057,                0.33825,                0.92937,                0.58731,                0.49441,                0.51618,                 0.3032,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                0.44599,                0.33114,                0.91665,                0.81546,                0.76702,                0.80054,                0.45888,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.44554,                 0.3367,                0.92377,                0.82828,                0.78149,                0.82125,                0.46252,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                0.43933,                0.32958,                0.91804,                0.87456,                0.80794,                0.85655,                0.51582,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                0.43389,                0.32079,                0.91351,                0.87305,                0.79934,                0.85895,                0.48791,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.42342,                0.31835,                0.90342,                0.91211,                0.80249,                0.84341,                0.45149,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                0.43151,                0.31596,                0.90895,                0.84232,                0.80984,                0.80419,                 0.4261,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                  0.426,                0.31575,                0.90955,                0.84391,                0.80606,                0.83034,                0.45168,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                 0.4256,                0.31625,                0.90551,                0.89551,                0.83463,                0.89322,                0.54636,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.41627,                0.30234,                0.90787,                0.82303,                0.78994,                0.77601,                0.43686,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                0.42167,                0.31196,                0.90548,                 0.8559,                0.82775,                0.82369,                0.46872,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.40702,                0.30217,                0.89736,                 0.8851,                0.80628,                0.84859,                0.47764,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                0.41199,                 0.3058,                0.90279,                0.87737,                0.84828,                 0.8948,                0.54535,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.40932,                  0.299,                0.89847,                0.82332,                0.83943,                0.80705,                0.44827,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                0.41545,                0.30377,                0.90813,                0.86929,                0.86748,                0.88268,                0.53404,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                0.40362,                0.29375,                0.89804,                 0.8753,                0.84738,                0.88167,                0.49877,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                0.40676,                0.30089,                0.90121,                0.88039,                0.82851,                0.81974,                0.45943,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.40609,                0.30063,                 0.9025,                0.88992,                0.83685,                0.84068,                0.49855,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.39874,                0.29813,                0.89717,                0.88469,                0.84308,                 0.8439,                  0.507,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.39913,                0.29554,                0.89291,                0.85985,                0.83867,                0.83845,                0.50205,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                0.39657,                 0.2975,                 0.8943,                0.88834,                  0.841,                0.85309,                0.49341,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.38312,                0.28207,                0.89138,                0.89926,                0.83656,                0.85852,                0.51428,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.38502,                0.28455,                0.88978,                0.85814,                0.84871,                0.85493,                0.49576,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.38353,                0.28525,                0.88647,                0.88899,                 0.8174,                0.84817,                 0.5008,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.38995,                 0.2895,                0.88737,                0.84963,                0.83125,                0.83789,                0.48182,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                 0.3798,                0.27805,                 0.8849,                0.87483,                0.85028,                0.85913,                0.51707,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.38157,                0.28209,                0.89305,                0.84838,                0.83112,                0.82145,                0.46846,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.38147,                0.28406,                 0.8865,                0.85603,                0.83009,                0.85122,                0.52158,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.36976,                0.27594,                0.88254,                0.87624,                0.84459,                0.87376,                0.51911,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.36863,                 0.2739,                0.87956,                0.84984,                0.83804,                 0.8367,                0.49831,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.37752,                0.27681,                0.88436,                0.86083,                0.85872,                0.85947,                0.50996,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.35729,                0.26552,                 0.8294,                0.80863,                0.79958,                0.78748,                0.47707,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.34821,                0.25708,                0.82531,                0.85378,                0.81407,                0.81045,                0.47834,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.34291,                0.25085,                0.82423,                0.86256,                0.86409,                 0.8808,                0.52334,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.33576,                0.24401,                0.82641,                0.84892,                0.81645,                0.82235,                0.49487,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.33394,                0.24361,                 0.8197,                0.87974,                0.84838,                0.86184,                0.50795,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.33217,                0.24305,                0.82136,                0.87283,                 0.8066,                 0.8367,                0.49827,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.33364,                 0.2444,                0.82787,                0.87209,                0.81082,                 0.8377,                0.49542,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.33045,                 0.2396,                0.81855,                0.85789,                0.82268,                 0.8416,                 0.5005,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.32868,                0.24134,                0.82342,                0.87091,                0.79795,                 0.8197,                0.49475,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.32345,                0.23584,                0.82083,                0.81524,                0.81018,                0.79917,                  0.478,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
